Date,Light Intensity
"November 24, 2021 at 10:25AM",3616
"November 24, 2021 at 10:55AM",3435
"November 24, 2021 at 11:25AM",3456
"November 24, 2021 at 11:55AM",3489
"November 24, 2021 at 12:25PM",3549
"November 24, 2021 at 12:54PM",3561
"November 24, 2021 at 01:24PM",3569
"November 24, 2021 at 01:54PM",2696
"November 24, 2021 at 02:24PM",2287
"November 24, 2021 at 02:54PM",2202
"November 24, 2021 at 03:24PM",1463
"November 24, 2021 at 03:54PM",784
"November 24, 2021 at 04:24PM",0
"November 24, 2021 at 04:54PM",0
"November 24, 2021 at 05:24PM",0
"November 24, 2021 at 05:53PM",0
"November 24, 2021 at 06:23PM",0
"November 24, 2021 at 06:53PM",0
"November 24, 2021 at 07:23PM",0
"November 24, 2021 at 07:53PM",0
"November 24, 2021 at 08:23PM",0
"November 24, 2021 at 08:53PM",0
"November 24, 2021 at 09:23PM",0
"November 24, 2021 at 09:53PM",0
"November 24, 2021 at 10:22PM",0
"November 24, 2021 at 10:52PM",13
"November 24, 2021 at 11:22PM",0
"November 24, 2021 at 11:52PM",0
"November 25, 2021 at 12:22AM",0
"November 25, 2021 at 12:52AM",0
"November 25, 2021 at 01:22AM",0
"November 25, 2021 at 01:52AM",0
"November 25, 2021 at 02:22AM",0
"November 25, 2021 at 02:52AM",0
"November 25, 2021 at 03:22AM",0
"November 25, 2021 at 03:51AM",0
"November 25, 2021 at 04:21AM",0
"November 25, 2021 at 04:51AM",0
"November 25, 2021 at 05:21AM",0
"November 25, 2021 at 05:51AM",0
"November 25, 2021 at 06:21AM",0
"November 25, 2021 at 06:51AM",0
"November 25, 2021 at 07:21AM",472
"November 25, 2021 at 07:51AM",2416
"November 25, 2021 at 08:20AM",3178
"November 25, 2021 at 08:50AM",3357
"November 25, 2021 at 09:20AM",3441
"November 25, 2021 at 09:50AM",3494
"November 25, 2021 at 10:20AM",3523
"November 25, 2021 at 10:50AM",3547
"November 25, 2021 at 11:20AM",3558
"November 25, 2021 at 11:50AM",3570
"November 25, 2021 at 12:20PM",3595
"November 25, 2021 at 12:50PM",3600
"November 25, 2021 at 01:19PM",3601
"November 25, 2021 at 01:49PM",3650
"November 25, 2021 at 02:19PM",3906
"November 25, 2021 at 02:49PM",3631
"November 25, 2021 at 03:19PM",3412
"November 25, 2021 at 03:49PM",2630
"November 25, 2021 at 04:19PM",311
"November 25, 2021 at 04:49PM",0
"November 25, 2021 at 05:19PM",0
"November 25, 2021 at 05:49PM",0
"November 25, 2021 at 06:18PM",0
"November 25, 2021 at 06:48PM",0
"November 25, 2021 at 07:18PM",0
"November 25, 2021 at 07:48PM",0
"November 25, 2021 at 08:18PM",0
"November 25, 2021 at 08:48PM",0
"November 25, 2021 at 09:18PM",0
"November 25, 2021 at 09:48PM",0
"November 25, 2021 at 10:18PM",0
"November 25, 2021 at 10:47PM",0
"November 25, 2021 at 11:17PM",0
"November 25, 2021 at 11:47PM",0
"November 26, 2021 at 12:17AM",0
"November 26, 2021 at 12:47AM",0
"November 26, 2021 at 01:17AM",0
"November 26, 2021 at 01:47AM",0
"November 26, 2021 at 02:17AM",0
"November 26, 2021 at 02:47AM",0
"November 26, 2021 at 03:17AM",0
"November 26, 2021 at 03:46AM",0
"November 26, 2021 at 04:16AM",0
"November 26, 2021 at 04:46AM",0
"November 26, 2021 at 05:16AM",0
"November 26, 2021 at 05:46AM",0
"November 26, 2021 at 06:16AM",0
"November 26, 2021 at 06:46AM",0
"November 26, 2021 at 07:16AM",46
"November 26, 2021 at 07:46AM",1205
"November 26, 2021 at 08:16AM",2404
"November 26, 2021 at 08:46AM",2791
"November 26, 2021 at 09:15AM",3034
"November 26, 2021 at 09:45AM",3365
"November 26, 2021 at 10:15AM",3846
"November 26, 2021 at 10:45AM",3777
"November 26, 2021 at 11:15AM",3929
"November 26, 2021 at 11:45AM",3781
"November 26, 2021 at 12:15PM",3517
"November 26, 2021 at 12:45PM",3755
"November 26, 2021 at 01:15PM",3601
"November 26, 2021 at 01:45PM",3661
"November 26, 2021 at 02:15PM",3630
"November 26, 2021 at 02:44PM",2960
"November 26, 2021 at 03:14PM",2394
"November 26, 2021 at 03:44PM",2506
"November 26, 2021 at 04:14PM",659
"November 26, 2021 at 04:44PM",0
"November 26, 2021 at 05:14PM",0
"November 26, 2021 at 05:44PM",0
"November 26, 2021 at 06:14PM",0
"November 26, 2021 at 06:44PM",0
"November 26, 2021 at 07:13PM",0
"November 26, 2021 at 07:43PM",0
"November 26, 2021 at 08:13PM",0
"November 26, 2021 at 08:43PM",0
"November 26, 2021 at 09:13PM",0
"November 26, 2021 at 09:43PM",0
"November 26, 2021 at 10:13PM",0
"November 26, 2021 at 10:43PM",0
"November 26, 2021 at 11:13PM",0
"November 26, 2021 at 11:42PM",0
"November 27, 2021 at 12:12AM",0
"November 27, 2021 at 12:42AM",0
"November 27, 2021 at 01:12AM",0
"November 27, 2021 at 01:42AM",0
"November 27, 2021 at 02:12AM",0
"November 27, 2021 at 02:42AM",0
"November 27, 2021 at 03:12AM",0
"November 27, 2021 at 03:42AM",0
"November 27, 2021 at 04:11AM",0
"November 27, 2021 at 04:41AM",0
"November 27, 2021 at 05:11AM",0
"November 27, 2021 at 05:41AM",0
"November 27, 2021 at 06:11AM",0
"November 27, 2021 at 06:41AM",0
"November 27, 2021 at 07:11AM",0
"November 27, 2021 at 07:41AM",1386
"November 27, 2021 at 08:11AM",1781
"November 27, 2021 at 08:41AM",3165
"November 27, 2021 at 09:10AM",3248
"November 27, 2021 at 09:40AM",3614
"November 27, 2021 at 10:10AM",3917
"November 27, 2021 at 10:40AM",3424
"November 27, 2021 at 11:10AM",3041
"November 27, 2021 at 11:40AM",3632
"November 27, 2021 at 12:10PM",3834
"November 27, 2021 at 12:40PM",3504
"November 27, 2021 at 01:10PM",3390
"November 27, 2021 at 01:40PM",3419
"November 27, 2021 at 02:10PM",3792
"November 27, 2021 at 02:39PM",2079
"November 27, 2021 at 03:09PM",2617
"November 27, 2021 at 03:39PM",1664
"November 27, 2021 at 04:09PM",240
"November 27, 2021 at 04:39PM",0
"November 27, 2021 at 05:09PM",0
"November 27, 2021 at 05:39PM",0
"November 27, 2021 at 06:09PM",0
"November 27, 2021 at 06:39PM",0
"November 27, 2021 at 07:09PM",0
"November 27, 2021 at 07:38PM",0
"November 27, 2021 at 08:08PM",0
